epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4053,3.68817,3.50626,3.30978,0.00714,0.21193,0.0069,0.00274,2.51539,3.35065,2.40644,0.00032867,0.00032867,0.00032867
2,16.3322,1.82682,3.15458,1.81621,0.01264,0.34052,0.10318,0.04556,1.24092,2.98377,1.33276,0.000669414,0.000669414,0.000669414
3,22.1388,1.62428,2.87169,1.57034,0.01502,0.50718,0.07348,0.02245,1.76517,2.94771,1.52622,0.00100789,0.00100789,0.00100789
4,28.9607,1.42481,2.6843,1.41865,0.01863,0.52802,0.22561,0.11282,1.41072,2.84629,1.36855,0.00134411,0.00134411,0.00134411
5,38.2294,1.33416,2.55139,1.34644,1,0.13531,0.44737,0.18649,1.81992,2.50388,1.38897,0.00141014,0.00141014,0.00141014
6,43.5594,1.38914,2.39529,1.33614,0.95807,0.28966,0.50458,0.25943,1.44936,2.04723,1.37519,0.00140542,0.00140542,0.00140542
7,50.0154,1.35577,2.13732,1.30286,0.95807,0.28966,0.50458,0.25943,1.44936,2.04723,1.37519,0.00140071,0.00140071,0.00140071
8,55.4315,1.19819,1.93964,1.2268,0.93815,0.29167,0.63007,0.36313,1.27111,1.79092,1.19833,0.00139599,0.00139599,0.00139599
9,60.856,1.09415,1.75067,1.20478,0.75025,0.87572,0.89464,0.61901,1.19801,1.60692,1.2439,0.00139127,0.00139127,0.00139127
10,66.2972,1.07337,1.5544,1.23143,0.80229,0.87011,0.92515,0.60973,1.30664,1.50275,1.25988,0.00138656,0.00138656,0.00138656
11,71.5909,1.00896,1.28364,1.16718,0.80229,0.87011,0.92515,0.60973,1.30664,1.50275,1.25988,0.00138184,0.00138184,0.00138184
12,80.1281,0.93905,1.16821,1.14239,0.91669,0.80885,0.91479,0.70203,1.06307,1.142,1.17414,0.00137713,0.00137713,0.00137713
13,87.9433,0.84893,1.05413,1.11118,0.88825,0.84561,0.92258,0.70948,1.00905,1.09101,1.17133,0.00137241,0.00137241,0.00137241
14,95.7092,0.7914,0.95389,1.08787,0.95252,0.97917,0.99024,0.7772,1.0882,0.86733,1.13724,0.0013677,0.0013677,0.0013677
15,103.244,0.75174,0.85194,1.05415,0.95252,0.97917,0.99024,0.7772,1.0882,0.86733,1.13724,0.00136298,0.00136298,0.00136298
16,110.817,0.73914,0.82448,1.04626,0.97877,0.95599,0.98766,0.76466,0.90883,0.87703,1.0946,0.00135826,0.00135826,0.00135826
17,118.299,0.69069,0.78573,1.02034,0.94676,0.97316,0.98442,0.83028,0.81455,0.82184,1.03885,0.00135355,0.00135355,0.00135355
18,125.725,0.61667,0.74141,0.98038,0.94462,0.96362,0.99122,0.6564,1.19191,0.95472,1.17777,0.00134883,0.00134883,0.00134883
19,131.636,0.71648,0.73859,0.9845,0.94462,0.96362,0.99122,0.6564,1.19191,0.95472,1.17777,0.00134412,0.00134412,0.00134412
20,139.793,0.63036,0.70647,0.95164,0.96864,0.93011,0.98839,0.78089,0.88967,0.93366,1.00698,0.0013394,0.0013394,0.0013394
21,145.129,0.57773,0.68164,0.92799,0.97028,0.94029,0.99104,0.7562,1.01177,0.91007,1.0417,0.00133469,0.00133469,0.00133469
22,151.247,0.54057,0.64285,0.91229,0.96773,0.95617,0.99289,0.6639,1.3562,0.94622,1.13616,0.00132997,0.00132997,0.00132997
23,158.585,0.51744,0.62598,0.89824,0.96773,0.95617,0.99289,0.6639,1.3562,0.94622,1.13616,0.00132525,0.00132525,0.00132525
24,165.967,0.53693,0.62927,0.89765,0.9573,0.94684,0.99022,0.82155,0.82224,0.72728,0.97692,0.00132054,0.00132054,0.00132054
25,171.637,0.5081,0.59028,0.88483,0.98678,0.96576,0.99406,0.66748,1.18662,1.01388,1.07177,0.00131582,0.00131582,0.00131582
26,178.001,0.4804,0.56891,0.8753,0.97204,1,0.995,0.79655,0.87717,0.81564,0.98398,0.00131111,0.00131111,0.00131111
27,185.841,0.42683,0.53952,0.86282,0.97204,1,0.995,0.79655,0.87717,0.81564,0.98398,0.00130639,0.00130639,0.00130639
28,191.568,0.44097,0.53676,0.87062,0.97178,0.96696,0.99278,0.75732,0.93833,0.78407,0.99697,0.00130168,0.00130168,0.00130168
29,196.974,0.42578,0.51853,0.86585,0.97293,0.96851,0.995,0.79211,0.89845,0.67689,0.99448,0.00129696,0.00129696,0.00129696
30,202.166,0.39516,0.49753,0.85636,0.9756,0.96689,0.99184,0.77476,0.87048,0.82242,0.96974,0.00129224,0.00129224,0.00129224
31,207.638,0.39112,0.48671,0.84516,0.9756,0.96689,0.99184,0.77476,0.87048,0.82242,0.96974,0.00128753,0.00128753,0.00128753
32,213.396,0.3598,0.46499,0.83759,0.98453,0.94423,0.9883,0.79068,0.85478,0.69203,0.96737,0.00128281,0.00128281,0.00128281
33,219.889,0.36165,0.46345,0.8368,0.97307,0.96892,0.99184,0.72265,1.05473,0.73442,1.02926,0.0012781,0.0012781,0.0012781
34,225.532,0.36352,0.45778,0.83578,0.97261,0.96698,0.991,0.83194,0.73943,0.59633,0.92406,0.00127338,0.00127338,0.00127338
35,231.056,0.33584,0.44161,0.8269,0.97261,0.96698,0.991,0.83194,0.73943,0.59633,0.92406,0.00126867,0.00126867,0.00126867
36,236.563,0.32153,0.42906,0.82339,0.97863,0.96324,0.98891,0.73933,0.94408,0.73878,0.96978,0.00126395,0.00126395,0.00126395
37,242.234,0.31379,0.42035,0.82046,0.97804,0.97444,0.99382,0.79711,0.87109,0.65787,0.942,0.00125923,0.00125923,0.00125923
38,247.92,0.31815,0.41642,0.8197,0.98171,0.97664,0.99382,0.78045,0.93925,0.72088,0.99077,0.00125452,0.00125452,0.00125452
39,253.428,0.31495,0.40792,0.81805,0.98171,0.97664,0.99382,0.78045,0.93925,0.72088,0.99077,0.0012498,0.0012498,0.0012498
40,258.942,0.31324,0.40137,0.81662,0.98218,0.97373,0.99382,0.79332,0.9087,0.73354,0.97596,0.00124509,0.00124509,0.00124509
41,264.612,0.2907,0.3892,0.81219,0.97903,0.96982,0.99382,0.7665,0.94389,0.74617,0.98032,0.00124037,0.00124037,0.00124037
42,271.616,0.27729,0.37417,0.80975,0.95218,0.98087,0.99265,0.78663,0.93546,0.64215,0.97576,0.00123566,0.00123566,0.00123566
43,277.224,0.27638,0.37063,0.80828,0.95218,0.98087,0.99265,0.78663,0.93546,0.64215,0.97576,0.00123094,0.00123094,0.00123094
44,286.395,0.27226,0.36635,0.80549,0.97936,0.97168,0.99382,0.76861,0.92616,0.66371,0.97387,0.00122622,0.00122622,0.00122622
45,292.282,0.25626,0.35726,0.8031,0.9775,0.97138,0.99382,0.77127,0.84861,0.68072,0.94488,0.00122151,0.00122151,0.00122151
46,298.021,0.2459,0.34677,0.80217,0.98377,0.96636,0.99382,0.76143,0.97238,0.71893,0.98115,0.00121679,0.00121679,0.00121679
47,303.565,0.26084,0.34655,0.8011,0.98377,0.96636,0.99382,0.76143,0.97238,0.71893,0.98115,0.00121208,0.00121208,0.00121208
48,309.175,0.24492,0.34178,0.79769,0.97915,0.97173,0.995,0.77184,0.93784,0.69759,0.99614,0.00120736,0.00120736,0.00120736
49,314.641,0.22952,0.33546,0.79381,0.9587,1,0.995,0.79485,0.84632,0.6449,0.96332,0.00120265,0.00120265,0.00120265
50,320.178,0.23568,0.33523,0.79466,0.95892,1,0.995,0.78829,0.88853,0.66333,0.96134,0.00119793,0.00119793,0.00119793
51,327.826,0.22433,0.32585,0.79246,0.95892,1,0.995,0.78829,0.88853,0.66333,0.96134,0.00119322,0.00119322,0.00119322
52,337.525,0.22004,0.32138,0.78966,0.9605,0.99451,0.995,0.7965,0.92903,0.64359,0.96684,0.0011885,0.0011885,0.0011885
53,344.065,0.20838,0.30862,0.78664,0.95091,1,0.99265,0.78911,0.89759,0.62535,0.96926,0.00118378,0.00118378,0.00118378
54,349.583,0.2169,0.31085,0.78729,0.9484,1,0.99265,0.78501,0.8899,0.6533,0.96434,0.00117907,0.00117907,0.00117907
55,354.925,0.19603,0.30009,0.78295,0.9484,1,0.99265,0.78501,0.8899,0.6533,0.96434,0.00117435,0.00117435,0.00117435
56,360.325,0.1937,0.29314,0.78241,0.97971,0.97487,0.99382,0.77572,0.8877,0.65385,0.96697,0.00116964,0.00116964,0.00116964
57,365.693,0.20063,0.29316,0.78305,0.97958,0.97003,0.99382,0.78981,0.8951,0.62793,0.95888,0.00116492,0.00116492,0.00116492
58,371.137,0.20144,0.29256,0.78237,0.9763,0.97568,0.995,0.75582,1.02465,0.67296,1.00201,0.00116021,0.00116021,0.00116021
59,376.409,0.1977,0.28483,0.78069,0.9763,0.97568,0.995,0.75582,1.02465,0.67296,1.00201,0.00115549,0.00115549,0.00115549
60,381.755,0.18132,0.27621,0.77891,0.96754,0.98672,0.995,0.82531,0.81311,0.63439,0.94137,0.00115077,0.00115077,0.00115077
61,387.18,0.19294,0.27942,0.78066,0.96004,0.99435,0.995,0.78968,0.91886,0.67719,0.97717,0.00114606,0.00114606,0.00114606
62,392.647,0.18565,0.27632,0.77951,0.97741,0.97906,0.995,0.7975,0.81295,0.64261,0.95192,0.00114134,0.00114134,0.00114134
63,397.981,0.18518,0.27434,0.7776,0.97741,0.97906,0.995,0.7975,0.81295,0.64261,0.95192,0.00113663,0.00113663,0.00113663
64,403.365,0.17543,0.26474,0.77668,0.9814,0.97499,0.99382,0.77108,0.89838,0.6424,0.96623,0.00113191,0.00113191,0.00113191
65,408.705,0.17566,0.26415,0.7769,0.98074,0.97523,0.99382,0.75626,0.95505,0.69232,0.97829,0.0011272,0.0011272,0.0011272
